ISS_1,ISS_2_REV,ISS_3,ISS_4_REV,ISS_5,ISS_6,ISS_7_REV,ISS_8,ISS_9_REV,ISS_10,ISS_11,ISS_12_REV,ISS_13,ISS_14,ISS_15_REV,ISS_16,ISS_17,ISS_18_REV,ISS_19,ISS_20_REV,ISS_21,ISS_22_REV,ISS_23,ISS_24
4,2,5,2,5,5,1,2,1,5,4,1,4,4,2,4,4,2,3,1,5,1,3,5
4,1,3,1,2,4,2,4,4,3,4,3,2,2,2,5,2,2,1,4,5,1,1,1
4,1,5,2,4,5,1,5,1,2,1,4,2,5,4,1,5,5,4,4,3,1,2,4
5,3,3,4,5,3,3,3,3,5,3,5,3,4,2,5,3,1,4,2,1,1,2,5
5,1,5,1,5,5,1,5,1,5,5,1,5,5,1,5,5,1,5,1,5,1,5,5
3,3,4,2,4,4,2,5,5,1,4,1,5,4,1,4,4,4,3,4,3,4,4,2
4,2,3,1,5,5,2,5,1,5,5,5,4,2,1,1,4,3,5,4,5,1,4,5
4,3,4,4,5,1,5,5,3,2,5,1,2,3,5,4,1,1,1,2,4,1,5,5
1,1,1,2,2,4,4,4,1,3,4,5,2,5,1,1,2,1,4,1,5,1,5,5
5,3,3,3,4,3,1,3,1,3,5,1,5,3,4,5,4,3,5,1,5,1,2,2
3,1,2,1,2,2,2,5,1,5,4,2,2,4,4,4,5,1,5,1,5,1,1,3
5,1,3,1,5,4,2,5,3,5,5,4,5,5,3,3,4,3,1,4,3,2,4,5
4,2,5,1,5,5,1,3,4,5,5,3,4,5,4,4,4,4,3,1,3,1,5,1
5,2,4,1,4,5,1,2,3,4,4,2,2,4,5,5,3,3,5,2,4,4,1,2
5,1,5,1,5,5,1,5,1,5,5,1,5,5,1,5,5,1,5,1,5,1,5,5
4,2,4,1,4,4,1,1,1,5,5,1,1,3,2,4,4,1,4,2,5,2,2,2
1,1,5,1,5,4,1,3,3,5,2,3,4,5,2,4,5,2,4,1,4,1,5,3
3,3,5,1,2,5,2,1,4,2,2,3,1,5,3,3,5,1,5,3,3,3,2,1
4,3,4,5,2,2,5,1,5,2,1,2,4,1,4,5,4,2,1,4,4,5,3,1
1,1,5,1,1,5,2,4,2,5,5,1,4,1,3,2,4,2,5,2,3,4,5,5
3,2,3,4,4,5,2,3,1,1,3,2,5,5,5,4,5,3,2,1,1,3,2,4
1,5,4,4,5,3,5,2,2,2,3,5,4,5,1,1,4,2,5,4,5,2,2,1
4,1,3,4,5,4,1,5,2,1,2,3,2,5,2,5,1,5,3,2,4,4,1,5
4,4,2,3,4,5,5,2,5,5,5,4,5,4,4,5,1,4,4,5,4,2,5,3
4,2,5,2,4,5,1,4,4,5,4,1,2,4,4,5,5,3,5,4,5,1,3,5
5,4,3,2,2,4,3,5,4,5,1,1,3,5,3,2,3,3,3,1,5,2,4,4
5,5,5,2,5,5,2,4,3,2,3,2,4,5,2,5,5,4,3,4,5,2,5,3
5,1,1,1,4,5,1,5,3,5,3,1,5,3,3,4,5,1,3,1,4,2,5,5
5,2,5,1,4,5,3,4,1,5,3,1,3,4,1,4,4,1,4,4,3,1,4,5
4,2,3,4,5,4,2,5,5,4,4,2,5,5,2,3,2,1,1,4,2,4,2,2
3,2,3,4,1,1,3,5,2,2,3,2,5,3,3,4,4,3,1,3,3,5,1,4
5,3,2,1,2,4,3,1,2,5,4,3,2,1,2,5,1,3,2,5,5,1,2,4
4,1,3,5,5,4,2,5,2,5,5,1,3,2,5,5,1,1,4,3,4,1,1,3
4,1,5,1,5,5,3,5,1,1,2,1,5,4,3,5,5,1,5,1,4,3,5,5
5,3,2,5,4,4,4,4,1,5,1,1,1,1,2,5,1,3,5,2,5,4,5,2
5,1,5,2,4,3,1,5,1,3,5,1,5,4,1,5,5,1,4,1,5,2,5,5
4,1,5,1,5,1,2,5,4,4,5,3,1,4,1,3,5,5,4,1,3,2,5,5
5,2,5,2,4,5,1,1,1,2,4,4,4,5,4,5,5,3,5,1,2,5,4,2
2,5,4,1,4,2,1,4,2,2,5,1,5,5,2,3,1,1,4,1,3,2,2,4
5,1,5,1,5,5,1,5,1,5,5,1,5,5,1,5,5,1,5,1,5,1,5,5
2,1,2,1,1,2,3,5,1,3,5,1,1,4,2,1,5,1,1,1,2,2,3,1
1,4,1,1,4,5,5,5,1,5,2,1,5,3,2,5,3,5,5,1,2,3,5,5
5,4,4,3,4,5,2,5,3,5,4,1,4,4,5,4,4,3,4,3,5,2,3,4
2,2,3,2,5,5,1,5,1,5,4,1,5,3,3,3,5,1,2,2,5,3,4,5
3,2,3,3,2,5,2,5,1,4,4,3,3,5,4,3,4,2,5,1,1,1,3,5
5,1,3,4,5,1,3,5,2,4,4,3,2,5,1,5,4,5,5,2,2,2,4,4
3,3,5,4,5,5,2,5,2,5,3,2,5,5,1,1,4,1,3,4,4,3,1,4
5,3,4,1,2,4,1,5,2,4,5,1,4,5,4,5,3,1,5,3,5,2,5,4
5,1,4,1,3,5,5,5,2,5,4,4,5,5,1,4,3,2,5,4,4,3,2,5
5,2,4,5,4,5,2,5,1,4,5,2,5,2,1,3,4,2,5,1,4,3,5,5
3,2,2,1,2,4,1,1,3,4,5,5,5,5,4,5,2,5,5,1,1,1,1,3
1,3,3,4,5,4,1,3,2,1,5,1,3,5,1,5,3,1,5,2,4,2,1,3
4,1,5,1,5,5,1,5,3,5,4,1,5,5,1,5,5,1,5,1,4,3,4,5
4,4,3,4,5,5,2,5,4,4,5,1,2,5,1,4,5,5,3,2,5,1,4,5
4,1,1,1,3,4,1,4,5,3,5,4,5,5,1,5,5,3,3,2,4,2,4,5
3,2,3,1,5,5,2,5,3,4,2,4,3,4,1,5,4,2,2,5,5,3,4,4
3,3,2,2,4,1,2,1,5,5,2,4,5,3,1,4,5,4,3,2,1,3,5,3
5,1,1,2,4,5,1,2,1,4,3,1,2,2,3,5,4,1,3,1,1,5,2,4
1,2,5,1,2,5,5,5,1,4,3,5,5,5,2,3,4,1,1,4,5,2,5,3
5,1,5,3,3,4,3,4,4,4,4,2,3,3,4,4,5,5,3,1,2,2,5,1
4,4,4,2,4,4,2,4,4,2,1,4,5,1,2,1,4,1,5,4,1,1,3,5
3,5,4,3,1,5,5,4,1,5,5,2,5,4,2,5,3,4,5,1,2,1,2,1
3,4,3,2,5,3,4,4,3,5,2,3,3,5,1,5,4,2,5,2,2,1,5,3
5,3,3,1,3,5,5,4,3,5,5,4,4,5,4,5,4,4,2,2,5,1,3,3
3,4,1,2,2,4,1,4,3,4,2,1,1,2,2,3,3,4,4,4,4,4,3,5
4,5,3,1,2,5,5,3,3,1,4,1,3,1,1,5,3,2,2,1,4,1,4,3
5,1,3,3,4,5,5,4,4,2,4,3,4,3,5,5,4,1,2,3,3,1,3,2
3,2,4,5,2,4,2,2,5,5,4,1,5,4,1,3,4,3,5,1,2,1,5,2
2,1,4,4,1,3,1,4,2,5,2,3,2,4,4,4,3,1,3,2,5,1,4,4
4,1,5,1,5,4,1,5,1,5,4,2,4,5,1,5,5,1,5,1,4,3,5,4
5,3,4,3,1,5,2,3,5,1,1,1,5,1,3,3,5,1,4,2,3,5,3,5
2,1,3,1,5,1,2,4,1,5,5,1,5,4,2,1,5,3,5,3,5,5,5,4
5,4,4,3,3,4,3,4,4,4,4,2,1,4,1,4,4,1,2,2,3,2,3,3
1,2,5,1,5,5,3,1,2,3,5,4,1,1,1,3,4,3,5,1,5,2,3,1
4,1,4,2,3,3,1,2,5,3,4,4,5,1,4,1,5,1,3,1,5,1,5,5
4,5,4,3,1,3,1,5,5,1,3,5,3,4,5,2,2,4,4,4,2,3,3,4
4,2,3,3,4,5,5,5,3,5,5,4,5,5,1,3,4,5,3,5,3,3,5,5
2,4,2,4,1,5,1,3,1,3,4,4,5,4,4,1,1,1,1,3,3,3,1,3
5,3,5,1,5,4,4,4,2,4,2,1,5,5,4,4,5,1,2,1,3,4,5,2
1,1,2,1,3,3,4,2,5,3,5,4,5,5,4,5,4,3,5,3,5,2,3,2
5,2,2,1,4,5,1,3,2,5,4,2,2,4,2,3,5,1,3,1,4,5,1,4
3,2,4,1,2,3,4,5,1,3,5,1,3,5,4,4,5,5,5,3,5,2,4,4
5,1,5,1,3,5,4,5,1,4,3,1,4,4,2,4,4,2,4,2,2,3,2,5
4,1,5,2,4,5,2,3,1,5,4,1,5,4,2,4,4,1,5,1,5,4,4,5
4,4,2,3,5,1,1,4,4,5,2,3,5,5,3,5,1,2,5,1,2,3,4,2
3,4,5,4,3,3,1,5,4,5,3,1,4,5,1,4,4,3,2,1,5,4,4,3
4,1,5,1,5,5,1,5,1,5,2,2,4,5,2,5,4,1,4,3,2,1,3,3
3,1,3,1,2,1,3,5,3,5,5,1,2,3,4,3,3,2,3,1,3,1,4,4
2,3,5,5,4,2,3,3,4,1,3,5,3,1,1,3,1,5,2,3,1,5,5,2
4,1,4,1,3,5,3,3,1,3,2,1,4,2,1,3,2,1,3,2,5,1,5,5
3,5,3,1,1,4,1,4,4,4,3,3,2,3,2,1,2,5,4,5,5,5,2,2
5,2,5,1,5,1,4,4,5,5,5,3,4,1,5,3,2,4,5,2,2,4,2,5
5,5,2,2,5,5,2,4,1,5,2,2,4,3,2,2,4,1,2,2,4,1,5,4
5,1,3,1,1,3,3,3,5,2,2,3,2,3,4,4,3,4,4,2,5,1,4,4
5,4,5,2,2,2,4,5,4,1,3,4,1,3,2,4,5,3,2,5,3,1,1,3
3,3,3,4,5,3,4,2,2,1,2,1,3,4,5,1,5,3,4,3,5,2,1,2
3,1,4,1,5,3,5,1,2,2,5,2,4,3,4,2,3,2,5,4,5,4,4,4
4,2,5,1,4,1,4,5,1,4,4,2,5,1,4,3,1,4,5,3,3,5,5,5
4,4,5,3,4,3,1,1,3,2,4,4,1,3,2,1,5,4,2,4,4,5,4,3
4,2,1,5,2,1,3,4,3,3,2,2,5,4,2,4,3,1,4,3,3,3,5,3
1,3,4,2,4,5,5,5,1,5,2,2,4,5,2,2,5,2,2,3,4,2,4,4
2,2,5,5,4,2,4,5,1,1,4,3,5,1,3,3,4,3,5,5,5,1,5,3
3,1,5,2,5,3,3,1,2,4,4,2,5,3,4,5,4,1,5,4,5,1,2,1
5,2,5,1,5,5,3,4,1,4,5,2,5,4,4,3,3,1,5,1,5,3,3,5
2,2,5,2,1,1,2,5,1,3,4,2,5,5,3,3,5,3,3,2,2,5,5,5
5,3,3,4,2,4,4,2,2,4,5,1,2,3,2,1,3,4,1,4,5,4,1,5
1,3,2,1,3,4,1,3,5,5,3,4,1,4,4,3,5,2,4,3,5,3,3,1
5,1,5,1,5,5,1,5,1,1,1,1,5,5,3,2,5,4,5,3,5,1,5,4
2,2,4,1,3,4,1,2,2,3,5,1,5,5,1,5,5,1,5,1,5,2,5,5
5,1,4,1,5,5,1,4,1,3,2,2,3,3,1,5,5,2,5,1,4,1,2,5
3,3,4,1,2,4,1,2,2,3,4,5,4,5,1,5,3,3,5,1,3,4,5,5
3,2,4,1,5,4,2,5,4,5,1,2,2,3,1,5,5,2,4,3,4,2,5,4
5,1,5,1,5,3,1,4,1,3,5,1,5,5,2,5,5,4,5,2,5,1,4,4
4,3,4,3,5,2,2,1,5,3,1,2,5,4,2,4,3,2,4,5,2,2,3,4
4,5,3,1,1,5,3,1,2,3,2,4,2,5,4,1,3,1,4,2,1,1,2,3
4,1,3,1,4,4,5,2,1,3,1,1,5,2,1,1,2,1,4,4,3,1,5,3
5,2,2,2,5,1,2,3,3,4,5,1,3,4,1,4,5,1,1,1,1,2,3,4
5,2,5,2,2,5,4,4,2,4,4,4,5,4,1,5,5,1,2,5,5,1,3,3
5,1,3,1,5,2,4,4,2,5,5,1,5,3,1,5,5,1,5,1,4,2,4,1
3,1,5,1,5,2,1,4,4,1,2,3,2,1,5,3,5,5,2,2,2,5,3,4
3,3,3,1,4,3,1,4,3,2,4,3,1,2,2,1,3,1,4,3,5,2,2,4
5,3,3,2,4,3,1,3,2,5,3,1,5,5,1,3,4,2,3,2,5,3,3,5
4,4,5,3,3,4,5,1,4,1,3,1,1,4,2,3,1,5,1,5,3,2,3,3
5,2,1,4,2,4,5,4,2,3,2,5,2,5,1,5,5,5,3,5,4,2,3,1
3,3,4,4,1,2,4,1,5,3,4,1,3,2,1,5,5,1,4,3,1,5,5,3
2,1,4,1,2,2,2,5,2,2,5,1,4,5,1,5,5,1,5,1,5,2,3,4
5,2,3,2,1,3,1,4,2,2,5,1,4,4,4,3,5,3,5,1,5,1,5,5
1,2,5,2,2,4,1,5,1,5,3,1,2,5,1,4,3,3,5,2,5,2,3,2
4,5,5,3,2,2,1,5,4,4,4,5,5,5,3,5,3,4,1,4,1,2,5,5
3,4,5,1,5,4,2,4,1,5,2,1,4,4,1,5,5,2,3,3,4,2,3,2
5,1,3,1,3,2,1,1,1,2,2,5,3,5,2,4,3,1,5,2,4,5,2,1
5,2,5,1,3,5,1,3,2,5,4,1,5,2,4,3,1,1,4,2,5,2,2,2
1,1,4,3,3,4,5,5,3,3,5,4,5,5,2,5,5,2,4,2,1,1,5,5
5,1,3,2,2,2,5,3,1,4,1,3,5,4,5,4,2,1,2,5,5,5,3,3
3,1,2,5,5,5,4,3,1,5,3,1,1,3,4,4,5,3,4,3,4,2,2,3
5,4,5,5,5,4,1,5,3,5,5,1,3,3,2,2,3,4,4,2,2,5,1,3
4,1,2,4,4,3,3,2,2,1,3,4,1,1,5,1,5,2,1,5,1,2,2,2
4,2,2,2,4,1,1,4,4,3,3,2,1,4,5,2,2,2,1,3,4,3,2,2
5,3,3,1,5,4,3,4,2,2,2,2,5,5,3,5,2,4,3,1,1,2,3,5
5,1,2,1,5,1,3,3,5,3,5,3,3,2,1,1,3,2,5,4,5,1,5,1
2,4,3,5,4,3,1,5,3,5,2,1,1,4,4,4,3,2,5,2,5,4,1,5
4,1,4,1,4,3,1,5,2,1,4,2,4,2,1,5,5,2,3,5,5,1,3,4
1,3,3,1,5,5,1,4,1,3,3,2,2,3,1,5,1,5,2,1,4,1,3,1
5,2,2,3,5,4,2,3,3,2,3,1,5,5,2,4,5,1,2,1,4,4,4,3
4,1,5,5,5,5,3,3,3,2,1,1,5,3,1,3,2,2,4,1,3,3,1,4
5,2,4,3,4,4,2,1,1,5,4,1,4,5,1,4,5,2,4,1,5,1,3,5
5,1,5,1,5,5,3,4,1,5,5,1,5,5,1,5,5,1,4,3,4,1,2,5
5,4,2,5,3,3,3,4,3,2,2,5,4,5,3,1,1,2,4,5,4,5,3,5
5,1,2,1,5,4,5,4,1,5,3,5,5,4,4,4,4,5,5,1,4,3,5,4
5,3,3,1,5,5,1,5,1,5,5,1,5,5,1,5,4,1,5,1,5,1,5,5
4,2,4,3,4,5,5,5,2,4,4,1,5,4,1,3,1,5,5,2,5,4,5,5
4,5,5,2,1,5,5,3,2,5,5,2,4,1,5,4,4,5,3,3,4,4,5,5
4,1,5,4,4,3,2,5,2,3,5,1,1,5,1,5,4,1,4,3,3,1,2,3
1,1,2,5,1,4,1,2,3,3,4,1,3,4,1,2,5,2,5,2,5,1,4,5
2,4,3,1,4,3,2,4,1,5,5,2,5,5,1,5,4,3,4,2,2,2,5,2
1,3,3,3,5,3,3,4,2,1,4,4,3,2,1,5,2,4,2,5,1,4,1,5
4,5,5,2,2,4,4,4,3,3,1,4,3,5,4,1,5,2,2,5,2,1,3,2
2,5,4,4,2,3,4,2,2,2,2,2,3,4,1,4,2,3,5,1,5,1,1,5
4,2,2,1,5,4,3,5,1,3,4,2,1,3,1,5,4,1,1,2,5,1,5,3
3,2,5,3,3,4,4,2,3,4,5,1,5,5,5,5,3,3,5,5,4,3,4,5
5,1,5,2,4,5,1,2,2,5,5,2,4,5,5,4,4,5,3,2,5,4,3,4
5,2,2,1,5,5,1,5,4,5,3,2,2,5,1,4,3,1,5,3,3,1,4,5
4,3,1,1,3,3,3,5,2,4,5,2,4,2,2,1,2,2,5,1,1,2,4,2
3,2,5,2,3,4,1,4,1,4,5,2,5,3,1,5,1,2,5,1,5,3,5,5
1,1,5,4,5,5,4,2,5,3,4,2,2,5,2,4,3,4,1,1,4,2,4,5
4,4,2,1,4,2,5,5,1,5,5,1,4,2,4,2,5,1,2,4,3,5,5,5
4,1,3,3,5,2,5,5,2,1,4,4,2,2,1,3,5,1,5,3,5,1,5,1
3,5,1,3,2,5,5,1,4,3,3,4,1,5,5,1,1,5,2,1,3,4,1,2
1,5,3,3,3,2,4,2,4,4,5,1,1,5,4,1,5,5,3,5,3,3,4,5
3,2,4,2,4,4,3,1,2,1,2,1,2,5,3,2,2,4,1,3,1,4,4,4
2,1,4,2,5,5,1,5,2,5,3,1,4,4,2,3,5,1,3,2,4,1,4,4
3,1,5,2,4,5,4,3,1,3,5,4,4,3,3,5,2,2,4,1,2,1,5,5
3,5,1,4,5,2,3,1,2,5,4,2,3,5,1,4,5,1,4,4,2,1,5,4
4,4,3,2,5,4,3,1,2,3,4,2,1,2,5,3,1,5,5,2,4,3,2,4
3,1,3,5,5,2,2,4,2,1,5,3,5,3,4,1,4,1,3,1,4,1,3,4
1,3,3,1,4,3,5,4,5,5,2,4,5,4,4,1,5,5,4,2,3,5,1,3
5,5,5,1,4,5,5,2,5,1,5,1,4,2,3,2,5,2,4,1,4,2,3,3
5,1,3,1,5,5,1,2,2,5,4,1,5,5,1,2,3,1,5,1,3,5,5,4
5,1,3,2,3,3,1,4,2,3,4,4,5,5,3,5,5,1,5,1,1,4,5,5
3,3,4,4,1,3,2,2,3,5,1,4,3,2,3,1,4,1,4,1,4,3,1,3
5,2,5,1,4,5,4,4,3,5,5,1,5,4,1,5,5,1,5,1,5,1,5,5
1,3,1,3,4,2,4,2,3,3,1,1,5,2,5,1,3,4,4,4,5,4,5,5
2,1,2,1,5,3,2,5,1,3,5,2,3,4,3,2,4,2,2,3,3,2,5,5
5,3,4,1,2,1,1,1,2,3,1,4,5,5,1,4,4,1,1,1,2,4,2,5
2,1,4,2,2,3,2,3,2,5,3,3,3,3,3,5,5,1,3,2,4,1,4,1
5,1,3,1,1,5,3,1,2,1,4,1,1,4,4,4,3,1,4,5,1,1,5,3
5,3,4,5,5,3,2,2,1,5,4,1,4,5,2,2,4,3,3,4,5,3,1,5
4,5,1,4,3,5,1,4,1,2,2,5,5,4,3,5,1,4,4,4,5,1,4,3
3,3,4,1,1,5,5,5,4,2,5,3,4,1,2,2,2,1,1,5,4,4,1,4
4,3,5,2,5,5,2,2,1,4,5,1,5,4,1,5,4,2,5,1,5,4,5,4
3,4,3,3,5,4,1,5,1,5,4,2,5,4,1,3,3,3,5,1,4,2,2,5
2,2,1,5,2,4,3,3,4,2,4,3,5,1,2,5,4,2,4,2,2,4,3,4
4,2,3,4,2,3,4,5,1,2,3,4,4,5,4,5,3,1,4,3,3,5,5,2
5,4,5,2,2,4,1,1,1,4,1,1,5,4,1,5,5,4,5,2,3,3,4,5
1,5,1,1,4,5,5,5,2,1,1,1,2,2,2,4,5,3,3,5,5,3,2,1
2,2,2,2,3,5,4,3,3,4,4,5,3,2,5,4,3,5,5,2,5,2,4,2
5,1,5,1,5,5,1,5,1,5,5,1,5,5,1,5,5,1,5,1,5,1,5,5
3,2,4,4,4,2,3,2,1,3,2,1,5,1,2,4,3,1,1,3,2,4,5,5
5,1,5,1,4,2,2,4,1,5,5,4,5,4,4,5,1,3,3,1,5,2,3,2
5,1,5,1,5,5,1,5,1,4,5,1,5,5,2,2,5,1,5,1,5,2,4,5
5,2,5,3,5,4,2,3,1,4,2,2,4,5,1,2,3,1,5,3,5,2,5,4
3,1,4,5,5,4,5,4,2,2,2,1,4,4,4,5,4,1,3,2,1,2,3,2
4,1,2,2,1,4,1,5,5,3,5,1,3,3,3,5,2,1,2,1,5,5,5,5
5,1,3,5,2,5,2,2,2,2,5,2,4,4,3,4,1,3,4,2,5,1,4,5
5,4,5,1,3,5,1,5,4,4,4,2,4,4,3,2,3,1,5,5,3,3,4,4
4,1,5,1,5,1,3,5,2,3,3,2,4,2,1,5,4,2,4,4,5,1,3,5
4,2,5,3,5,4,2,4,1,2,4,1,5,5,4,5,4,4,5,1,4,3,4,4
3,4,5,1,1,5,2,5,3,5,2,2,5,1,1,4,5,2,2,4,5,1,5,1
3,4,5,5,4,3,5,1,3,3,2,3,3,1,2,3,5,2,2,2,5,3,5,5
5,2,4,2,4,4,4,4,3,3,1,3,4,4,2,4,4,5,5,1,3,4,3,1
5,3,4,2,5,4,3,3,1,5,5,2,5,2,1,3,5,2,3,2,5,4,5,5
3,1,4,1,4,3,1,1,1,2,4,2,5,3,5,5,5,2,4,1,3,2,5,5
5,5,3,1,1,4,1,2,1,1,2,4,4,4,5,4,5,1,1,3,2,1,3,4
4,2,5,1,5,5,3,5,1,3,3,3,4,1,5,4,5,4,4,2,1,4,4,3
4,5,2,2,3,2,2,1,5,2,1,2,2,1,1,3,2,3,4,2,4,3,5,3
3,1,5,2,3,5,1,2,4,5,3,1,5,4,1,4,5,2,5,3,3,1,4,5
4,1,3,4,1,1,2,2,1,2,3,4,1,3,4,2,3,4,5,1,3,4,4,2
5,3,4,1,4,5,3,2,4,1,4,1,5,4,3,4,4,5,4,5,3,2,3,5
4,1,3,5,5,4,1,3,2,4,5,1,5,5,2,5,5,1,5,1,5,1,5,5
4,1,3,3,4,5,5,3,5,5,4,1,5,4,2,5,5,2,5,1,5,4,4,5
1,1,2,3,5,4,1,5,3,3,4,4,3,2,5,4,5,1,3,1,5,2,1,3
1,3,1,5,5,4,2,3,3,5,2,1,2,3,5,3,3,4,5,3,1,5,5,4
5,2,3,1,2,3,3,3,5,5,3,5,5,4,5,1,3,1,5,1,2,3,1,2
5,2,5,1,4,4,2,5,2,5,5,2,2,3,1,5,4,1,5,1,4,4,4,1
5,2,1,5,4,5,3,3,1,1,1,4,3,2,1,4,1,3,5,4,3,1,4,1
1,4,3,4,5,3,3,2,1,2,1,2,5,4,4,4,2,4,1,4,4,3,4,5
4,3,3,4,5,1,1,5,1,5,3,1,3,3,1,4,5,1,1,3,5,3,4,4
1,4,5,3,4,1,4,5,5,4,3,1,3,1,4,4,2,4,4,4,3,4,5,5
3,3,1,1,5,5,4,5,3,3,1,4,3,3,4,5,4,1,5,3,1,2,1,4
