gender,grade,topik,income,self_esteem,interc_sensitivity,acculturative_stress
2,3,1,2,28.0,97.0,46.0
1,4,1,2,26.0,82.0,152.0
2,4,1,2,31.0,108.0,58.0
2,2,1,3,30.0,79.0,64.0
1,2,1,2,29.0,113.0,45.0
1,4,0,2,20.0,74.0,134.0
1,4,1,3,27.0,94.0,117.0
1,4,1,2,33.0,101.0,52.0
2,4,1,2,27.0,84.0,73.0
2,2,1,2,23.0,93.0,71.0
2,3,1,2,31.0,89.0,82.0
1,2,1,2,30.0,83.0,98.0
2,2,1,2,31.0,94.0,76.0
2,4,1,2,17.0,78.0,132.0
2,4,1,3,36.0,92.0,120.0
1,3,0,2,24.0,76.0,127.0
1,4,1,2,19.0,87.0,125.0
1,2,1,2,23.0,86.0,100.0
2,2,0,2,26.0,73.0,107.0
2,2,0,2,32.0,90.0,64.0
1,3,1,2,24.0,72.0,152.0
2,4,1,2,17.0,86.0,57.0
1,2,1,2,16.0,95.0,97.0
2,2,1,2,26.0,91.0,77.0
2,3,1,2,28.0,81.0,128.0
1,2,1,2,29.0,80.0,89.0
2,3,1,2,28.0,88.0,100.0
1,3,1,3,27.0,83.0,89.0
1,1,0,2,27.0,76.0,109.0
2,3,1,3,27.0,72.0,61.0
2,1,1,1,28.0,65.0,99.0
1,2,1,2,24.0,78.0,126.0
2,3,1,2,34.0,89.0,61.0
2,3,1,2,26.0,91.0,60.0
1,2,1,2,26.0,63.0,143.0
2,2,1,2,36.0,104.0,51.0
2,2,1,2,37.0,106.0,52.0
1,2,1,2,37.0,106.0,86.0
1,2,1,2,23.0,82.0,106.0
1,4,1,2,30.0,93.0,61.0
1,4,0,2,27.0,49.0,159.0
2,3,1,2,34.0,90.0,45.0
1,1,1,2,31.0,80.0,95.0
2,2,1,2,23.0,58.0,138.0
1,2,1,2,35.0,78.0,48.0
2,1,1,2,27.0,91.0,107.0
1,2,1,2,27.0,74.0,127.0
1,1,1,2,25.0,93.0,55.0
2,4,1,2,22.0,74.0,89.0
1,3,1,3,25.0,68.0,97.0
1,3,1,2,29.0,78.0,74.0
1,2,1,2,36.0,80.0,77.0
2,3,1,2,34.0,83.0,68.0
2,2,1,2,29.0,101.0,98.0
2,4,1,2,37.0,98.0,43.0
1,4,1,2,32.0,97.0,86.0
2,2,1,3,26.0,91.0,103.0
2,4,1,2,37.0,98.0,44.0
2,4,1,2,23.0,106.0,69.0
2,3,1,2,31.0,94.0,60.0
1,3,1,2,33.0,90.0,107.0
1,2,1,2,31.0,83.0,95.0
2,3,1,2,38.0,84.0,60.0
1,2,1,3,34.0,78.0,115.0
2,3,0,2,39.0,102.0,62.0
1,4,1,2,35.0,100.0,88.0
1,2,1,1,35.0,82.0,62.0
2,2,1,2,22.0,88.0,100.0
1,4,1,2,23.0,70.0,85.0
1,2,1,3,32.0,86.0,153.0
1,2,1,2,28.0,78.0,134.0
2,3,1,3,16.0,82.0,153.0
2,3,1,2,37.0,99.0,51.0
2,2,1,2,24.0,86.0,51.0
1,1,1,2,28.0,99.0,102.0
1,4,1,1,29.0,75.0,118.0
1,2,1,2,28.0,79.0,84.0
2,2,1,2,31.0,65.0,84.0
1,1,0,2,35.0,97.0,45.0
1,3,1,2,22.0,79.0,120.0
2,4,1,2,29.0,96.0,77.0
1,2,0,2,25.0,61.0,122.0
1,2,1,2,32.0,91.0,88.0
1,1,1,3,28.0,74.0,46.0
1,2,1,2,30.0,93.0,93.0
1,1,1,3,16.0,76.0,61.0
2,4,1,2,31.0,99.0,79.0
2,4,1,2,28.0,77.0,87.0
2,1,1,1,30.0,92.0,68.0
2,3,1,2,27.0,89.0,55.0
2,1,1,2,28.0,87.0,77.0
1,2,1,3,26.0,75.0,131.0
2,3,1,2,32.0,105.0,45.0
2,1,1,3,31.0,93.0,63.0
2,2,1,2,38.0,101.0,63.0
2,2,1,1,23.0,93.0,59.0
1,3,1,2,31.0,80.0,71.0
1,3,1,2,27.0,87.0,115.0
1,1,1,2,33.0,91.0,91.0
2,1,1,3,35.0,89.0,47.0
1,3,1,2,32.0,67.0,81.0
1,2,1,2,30.0,76.0,106.0
2,2,1,2,25.0,88.0,92.0
1,2,1,2,32.0,95.0,53.0
1,2,1,2,36.0,99.0,53.0
1,4,0,3,26.0,79.0,95.0
1,2,1,3,31.0,100.0,94.0
1,2,0,2,26.0,90.0,56.0
2,2,1,2,35.0,93.0,119.0
1,1,0,2,27.0,77.0,129.0
2,2,0,2,30.0,83.0,99.0
2,3,0,2,31.0,99.0,87.0
2,1,1,2,29.0,101.0,49.0
2,2,1,2,33.0,98.0,58.0
2,4,1,2,19.0,79.0,113.0
1,4,1,2,26.0,79.0,99.0
2,3,0,2,28.0,54.0,144.0
2,3,1,2,27.0,96.0,58.0
1,3,1,2,38.0,115.0,61.0
2,3,1,3,32.0,91.0,86.0
1,2,1,2,27.0,85.0,93.0
1,2,1,2,24.0,67.0,143.0
1,4,1,2,26.0,78.0,103.0
2,4,1,3,25.0,69.0,83.0
2,4,0,3,34.0,91.0,74.0
2,2,1,2,28.0,83.0,121.0
2,3,1,3,31.0,81.0,53.0
1,3,1,2,21.0,90.0,75.0
1,2,1,1,30.0,86.0,61.0
1,2,1,2,31.0,96.0,61.0
1,2,1,2,33.0,85.0,105.0
2,2,1,3,34.0,99.0,53.0
1,3,1,3,23.0,89.0,128.0
2,2,1,2,29.0,83.0,94.0
1,2,1,2,35.0,76.0,131.0
2,2,1,2,29.0,61.0,88.0
2,1,1,2,22.0,94.0,102.0
1,1,1,1,36.0,99.0,73.0
1,3,1,2,28.0,70.0,133.0
2,3,1,3,29.0,97.0,54.0
1,3,0,2,32.0,86.0,72.0
1,1,1,2,26.0,77.0,76.0
2,2,1,3,27.0,88.0,74.0
2,3,1,2,32.0,98.0,72.0
2,2,1,3,24.0,79.0,90.0
1,2,1,3,30.0,97.0,62.0
1,4,1,3,27.0,83.0,97.0
1,2,0,2,23.0,101.0,97.0
1,4,1,2,27.0,88.0,88.0
2,2,1,3,27.0,93.0,143.0
1,4,1,2,28.0,102.0,58.0
1,2,1,3,37.0,82.0,95.0
1,1,1,2,32.0,80.0,77.0
1,2,1,2,23.0,80.0,68.0
1,4,1,2,28.0,85.0,115.0
2,3,1,2,26.0,75.0,88.0
2,2,1,2,33.0,81.0,48.0
2,4,1,3,29.0,93.0,82.0
1,2,1,2,27.0,99.0,151.0
1,4,1,1,36.0,87.0,91.0
2,2,1,2,26.0,61.0,121.0
1,4,1,2,39.0,104.0,99.0
2,2,1,3,31.0,89.0,108.0
1,2,1,2,36.0,77.0,78.0
1,4,1,3,27.0,82.0,103.0
2,2,0,3,29.0,74.0,56.0
2,1,1,2,37.0,100.0,64.0
1,2,1,2,34.0,70.0,97.0
2,3,1,1,40.0,104.0,50.0
2,3,0,2,31.0,90.0,98.0
2,2,1,2,36.0,78.0,54.0
2,4,1,2,34.0,87.0,70.0
2,3,0,2,36.0,98.0,65.0
1,2,0,2,27.0,80.0,103.0
2,4,0,3,30.0,97.0,45.0
2,4,1,2,28.0,88.0,49.0
2,2,1,2,23.0,88.0,70.0
2,3,1,1,30.0,69.0,82.0
2,4,0,2,32.0,88.0,77.0
2,3,1,2,32.0,106.0,51.0
2,3,1,2,38.0,99.0,68.0
1,4,1,2,32.0,74.0,51.0
2,3,1,3,31.0,66.0,75.0
1,4,1,2,22.0,79.0,78.0
2,4,1,2,26.0,95.0,50.0
1,3,1,3,30.0,65.0,143.0
1,3,1,2,37.0,96.0,52.0
1,2,1,2,37.0,96.0,84.0
1,3,0,3,35.0,90.0,90.0
2,2,1,2,38.0,92.0,55.0
1,3,1,2,34.0,91.0,59.0
1,2,1,2,26.0,83.0,117.0
1,2,0,2,33.0,88.0,93.0
1,3,1,1,21.0,90.0,140.0
2,4,1,2,34.0,98.0,83.0
2,3,1,3,29.0,79.0,100.0
2,4,1,2,23.0,55.0,51.0
2,3,1,2,23.0,85.0,111.0
2,2,1,2,29.0,58.0,69.0
1,4,1,2,32.0,90.0,79.0
1,2,0,1,36.0,94.0,51.0
1,3,0,2,21.0,68.0,115.0
2,2,1,2,31.0,86.0,96.0
2,3,1,2,32.0,90.0,57.0
1,2,0,2,35.0,86.0,116.0
2,1,1,2,30.0,83.0,102.0
1,2,1,3,29.0,80.0,96.0
2,2,1,2,33.0,96.0,41.0
1,3,0,2,27.0,80.0,131.0
1,2,1,3,30.0,71.0,95.0
1,1,1,2,30.0,77.0,77.0
1,3,1,2,22.0,65.0,120.0
1,3,1,2,37.0,96.0,44.0
2,1,1,2,31.0,78.0,97.0
1,2,1,2,35.0,87.0,85.0
2,3,1,2,32.0,86.0,71.0
1,2,1,2,31.0,87.0,67.0
2,4,0,2,26.0,95.0,82.0
2,3,1,3,32.0,95.0,66.0
1,3,0,3,16.0,59.0,156.0
2,2,1,2,34.0,70.0,61.0
1,1,0,3,34.0,103.0,47.0
1,3,1,3,36.0,90.0,95.0
1,2,0,2,27.0,82.0,139.0
2,2,1,2,29.0,82.0,96.0
2,3,1,3,31.0,93.0,58.0
2,3,1,2,30.0,103.0,53.0
2,4,1,2,16.0,96.0,73.0
2,2,1,2,34.0,92.0,84.0
2,2,1,2,21.0,82.0,81.0
2,3,1,3,15.0,69.0,109.0
1,3,1,2,28.0,77.0,99.0
2,2,1,2,35.0,82.0,64.0
1,2,1,2,29.0,58.0,147.0
2,4,1,2,33.0,104.0,47.0
1,2,1,2,39.0,82.0,88.0
2,1,1,2,33.0,82.0,83.0
1,3,1,3,36.0,98.0,70.0
1,4,1,2,28.0,81.0,76.0
2,2,1,2,34.0,70.0,69.0
1,1,1,2,24.0,85.0,48.0
1,3,1,2,27.0,82.0,124.0
2,1,1,3,37.0,103.0,88.0
1,2,1,2,20.0,73.0,82.0
1,2,1,3,31.0,90.0,72.0
1,1,1,2,22.0,76.0,92.0
1,1,1,2,31.0,95.0,77.0
1,3,1,2,24.0,91.0,126.0
1,2,1,3,27.0,79.0,107.0
2,3,1,3,27.0,99.0,95.0
2,2,1,2,32.0,98.0,107.0
1,2,1,1,33.0,96.0,84.0
1,3,1,2,37.0,85.0,79.0
2,2,1,2,26.0,100.0,117.0
2,3,1,2,39.0,86.0,74.0
2,4,1,3,34.0,90.0,98.0
2,4,1,1,27.0,81.0,122.0
2,4,1,3,27.0,86.0,95.0
2,2,1,3,24.0,72.0,79.0
2,2,1,2,37.0,98.0,46.0
2,4,1,2,36.0,102.0,59.0
2,2,1,2,21.0,78.0,126.0
1,3,1,2,38.0,89.0,47.0
1,4,1,2,30.0,81.0,103.0
2,2,0,2,23.0,83.0,141.0
1,2,1,2,39.0,93.0,67.0
1,3,1,2,35.0,91.0,82.0
1,4,1,2,28.0,83.0,44.0
1,4,0,2,36.0,111.0,49.0
1,1,1,3,34.0,83.0,71.0
2,2,1,2,26.0,93.0,91.0
2,2,1,3,21.0,71.0,79.0
2,4,1,2,29.0,90.0,68.0
1,3,0,2,35.0,85.0,82.0
2,2,1,2,28.0,78.0,81.0
2,4,1,2,38.0,96.0,61.0
1,4,0,1,28.0,75.0,73.0
2,4,1,2,35.0,81.0,97.0
2,4,1,3,35.0,100.0,45.0
2,1,1,2,24.0,68.0,96.0
1,2,1,2,32.0,94.0,74.0
1,3,0,2,37.0,83.0,161.0
2,4,1,3,28.0,96.0,78.0
2,3,1,2,26.0,93.0,118.0
1,3,1,1,39.0,86.0,47.0
1,3,1,3,30.0,79.0,90.0
2,4,1,3,34.0,82.0,88.0
2,4,1,1,33.0,86.0,63.0
2,2,0,2,37.0,106.0,54.0
2,2,1,3,27.0,77.0,101.0
1,3,1,2,28.0,89.0,64.0
1,2,1,2,30.0,79.0,107.0
2,2,0,2,24.0,70.0,115.0
1,2,1,3,21.0,71.0,141.0
1,4,1,2,25.0,96.0,101.0
2,4,1,2,23.0,91.0,105.0
1,4,1,2,21.0,68.0,144.0
1,4,1,1,35.0,92.0,54.0
2,4,1,3,36.0,76.0,131.0
2,2,1,3,26.0,89.0,91.0
